num_vars,num_expr,num_constr,time,satisfiability
1,1,1,71.3911,True
1,1,2,31.9983,True
1,1,3,28.6469,False
1,1,4,30.9637,False
1,1,5,45.0809,False
1,2,1,68.3422,True
1,2,2,92.4408,True
1,2,3,100.0257,True
1,2,4,66.7174,False
1,2,5,85.8774,False
1,3,1,72.8794,True
1,3,2,87.0667,False
1,3,3,74.8856,False
1,3,4,73.774,False
1,3,5,89.8901,True
1,4,1,74.7498,True
1,4,2,84.6322,True
1,4,3,98.8557,False
1,4,4,80.4995,False
1,4,5,111.477,False
1,5,1,85.9317,False
1,5,2,122.889,True
1,5,3,108.1205,False
1,5,4,148.6862,False
1,5,5,106.9297,False
1,6,1,138.2767,False
1,6,2,134.4839,True
1,6,3,161.067,False
1,6,4,187.3238,False
1,6,5,170.6499,False
1,7,1,128.0202,False
1,7,2,139.2742,False
1,7,3,139.6089,False
1,7,4,127.7686,False
1,7,5,169.554,False
1,8,1,125.1932,False
1,8,2,169.1604,False
1,8,3,235.0057,False
1,8,4,202.3893,False
1,8,5,233.9478,False
1,9,1,166.983,False
1,9,2,174.5758,False
1,9,3,172.9363,False
1,9,4,158.1911,False
1,9,5,200.974,False
1,10,1,195.0032,False
1,10,2,210.894,False
1,10,3,227.6667,False
1,10,4,235.0542,False
1,10,5,266.0807,False
2,1,1,62.9997,True
2,1,2,32.5915,True
2,1,3,27.8159,True
2,1,4,27.5724,False
2,1,5,46.2653,False
2,2,1,69.0592,True
2,2,2,56.6414,True
2,2,3,64.855,True
2,2,4,71.3365,False
2,2,5,58.0988,False
2,3,1,63.4505,True
2,3,2,76.6374,False
2,3,3,91.031,True
2,3,4,71.1549,False
2,3,5,103.2152,False
2,4,1,121.7295,False
2,4,2,125.0823,True
2,4,3,142.094,True
2,4,4,151.9867,True
2,4,5,120.2268,False
2,5,1,132.7823,False
2,5,2,155.8738,True
2,5,3,167.2885,False
2,5,4,201.9103,False
2,5,5,172.1887,False
2,6,1,144.9398,True
2,6,2,151.1827,True
2,6,3,221.2727,False
2,6,4,165.9416,False
2,6,5,162.4578,False
2,7,1,258.2762,True
2,7,2,267.4788,False
2,7,3,208.0406,True
2,7,4,253.9976,False
2,7,5,187.2354,False
2,8,1,180.7568,True
2,8,2,169.3681,False
2,8,3,234.8223,True
2,8,4,230.4849,False
2,8,5,232.5533,False
2,9,1,244.3848,False
2,9,2,255.021,True
2,9,3,293.7818,False
2,9,4,309.3672,False
2,9,5,352.3312,False
2,10,1,269.4351,True
2,10,2,279.163,False
2,10,3,330.8515,False
2,10,4,331.0594,False
2,10,5,305.6413,False
3,1,1,43.6145,True
3,1,2,34.2786,True
3,1,3,69.5677,True
3,1,4,124.6754,True
3,1,5,38.4531,False
3,2,1,87.6171,True
3,2,2,82.7431,True
3,2,3,308.8607,False
3,2,4,327.7126,True
3,2,5,146.0166,True
3,3,1,88.4186,True
3,3,2,95.7503,True
3,3,3,139.3339,True
3,3,4,165.9366,True
3,3,5,109.2111,True
3,4,1,148.709,True
3,4,2,148.8602,True
3,4,3,498.4118,True
3,4,4,145.5882,False
3,4,5,348.4885,False
3,5,1,147.1905,True
3,5,2,206.1736,True
3,5,3,735.8877,False
3,5,4,2512.7009,True
3,5,5,356.0427,True
3,6,1,368.6943,False
3,6,2,228.0864,True
3,6,3,291.1212,True
3,6,4,326.6572,True
3,6,5,183452.7877,False
3,7,1,246.2783,True
3,7,2,288.9389,True
3,7,3,356.4605,False
3,7,4,548.1102,False
3,7,5,319.7682,True
3,8,1,235.8168,True
3,8,2,365.8227,True
3,8,3,356.6817,True
3,8,4,28579.4554,False
3,8,5,302.8557,False
3,9,1,325.8101,True
3,9,2,296.8788,True
3,9,3,629.5784,True
3,9,4,372.9784,True
3,9,5,322.8329,False
3,10,1,366.4921,True
3,10,2,398.9812,True
3,10,3,2217.1022,False
3,10,4,788.3895,True
3,10,5,763.8858,False
4,1,1,33.0323,True
4,1,2,62.9003,True
4,1,3,843.5279,True
4,1,4,1128.9154,False
4,1,5,59.6062,True
4,2,1,63.5988,True
4,2,2,1112.9215,True
4,2,3,591.8834,False
4,2,4,172.3306,True
4,2,5,186.2686,True
4,3,1,432.7563,True
4,3,2,173.283,True
4,3,3,934.0785,True
4,3,4,533.8472,True
4,3,5,319.7347,True
4,4,1,139.5705,True
4,4,2,329.3178,True
4,4,3,1640.4668,True
